                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2435,                 2.8699,                 1.1226,                0.93895,                0.92285,                0.97331,                0.68758,                0.95807,                 1.2672,                0.94405,             0.00065248,             0.00065248,             0.00065248
                      1,                 1.1714,                0.94259,                 1.0649,                0.75669,                0.81333,                0.82269,                0.51122,                 1.2609,                  1.558,                 1.1037,              0.0013061,              0.0013061,              0.0013061
                      2,                 1.1778,                0.85498,                 1.0679,                0.79042,                   0.66,                 0.6939,                0.45108,                 1.3472,                 1.6435,                 1.2144,              0.0019465,              0.0019465,              0.0019465
                      3,                 1.1977,                 0.8278,                 1.0811,                 0.7967,                0.66667,                0.75999,                0.43406,                 1.4617,                 1.2268,                 1.2964,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.1355,                 0.7868,                 1.0389,                0.80104,                   0.34,                0.36848,                0.23043,                 1.9612,                 2.6594,                 1.8138,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1191,                0.75926,                 1.0478,                0.68922,                   0.36,                0.37008,                 0.2366,                 1.8009,                 2.0873,                 1.4872,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1047,                0.73906,                 1.0545,                0.93036,                   0.94,                0.97646,                0.67907,                0.99084,                0.78712,                 1.0288,               0.001901,               0.001901,               0.001901
                      7,                 1.0816,                0.70154,                 1.0338,                0.92079,                0.93002,                0.97386,                0.70395,                0.95243,                0.75462,                0.98065,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0899,                0.68073,                 1.0409,                 0.9322,                   0.96,                 0.9636,                0.69604,                0.96424,                0.63946,                0.98248,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0299,                0.64936,                 1.0203,                0.97377,                0.98986,                0.99297,                0.70833,                0.95097,                0.61998,                0.98736,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0194,                0.62783,                 1.0167,                0.99073,                   0.98,                0.98756,                0.69487,                0.98683,                0.62681,                 1.0057,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.021,                0.64055,                0.99979,                0.97301,                0.96145,                 0.9898,                0.71851,                0.98841,                0.62151,                0.98217,               0.001802,               0.001802,               0.001802
                     12,                 1.0173,                0.63594,                 1.0054,                0.96385,                   0.96,                 0.9877,                0.72701,                0.95892,                0.63601,                 0.9847,              0.0017822,              0.0017822,              0.0017822
                     13,                0.95589,                0.59617,                0.97941,                 0.9802,                0.96667,                0.99314,                0.73029,                0.96974,                0.55043,                 0.9738,              0.0017624,              0.0017624,              0.0017624
                     14,                0.99388,                0.59527,                0.98079,                0.97237,                0.98667,                0.99384,                 0.7435,                0.89887,                0.52154,                0.95406,              0.0017426,              0.0017426,              0.0017426
